Bratislavsky kraj;1;Zuzana;Caputova;227954
Bratislavsky kraj;2;Maros;Sefcovic;81164
Trnavsky kraj;1;Zuzana;Caputova;123198
Trnavsky kraj;2;Maros;Sefcovic;64370
Trenciansky kraj;1;Zuzana;Caputova;112442
Trenciansky kraj;2;Maros;Sefcovic;105077
Nitriansky kraj;1;Zuzana;Caputova;121449
Nitriansky kraj;2;Maros;Sefcovic;87702
Zilinsky kraj;1;Zuzana;Caputova;123803
Zilinsky kraj;2;Maros;Sefcovic;119093
Banskobystricky kraj;1;Zuzana;Caputova;107367
Banskobystricky kraj;2;Maros;Sefcovic;86023
Presovsky kraj;1;Zuzana;Caputova;114763
Presovsky kraj;2;Maros;Sefcovic;119596
Kosicky kraj;1;Zuzana;Caputova;125606
Kosicky kraj;2;Maros;Sefcovic;89378
