Bratislava - Stare Mesto;1;Zuzana;Caputova;18921
Bratislava - Stare Mesto;2;Maros;Sefcovic;4926
Bratislava - Podunajske Biskupice;1;Zuzana;Caputova;6839
Bratislava - Podunajske Biskupice;2;Maros;Sefcovic;2475
Bratislava - Ruzinov;1;Zuzana;Caputova;28874
Bratislava - Ruzinov;2;Maros;Sefcovic;9055
Bratislava - Vrakuna;1;Zuzana;Caputova;5914
Bratislava - Vrakuna;2;Maros;Sefcovic;2101
Bratislava - Nove Mesto;1;Zuzana;Caputova;15626
Bratislava - Nove Mesto;2;Maros;Sefcovic;4817
Bratislava - Raca;1;Zuzana;Caputova;7824
Bratislava - Raca;2;Maros;Sefcovic;3184
Bratislava - Vajnory;1;Zuzana;Caputova;1943
Bratislava - Vajnory;2;Maros;Sefcovic;699
Bratislava - Devin;1;Zuzana;Caputova;703
Bratislava - Devin;2;Maros;Sefcovic;174
Bratislava - Devinska Nova Ves;1;Zuzana;Caputova;5612
Bratislava - Devinska Nova Ves;2;Maros;Sefcovic;1770
Bratislava - Dubravka;1;Zuzana;Caputova;11320
Bratislava - Dubravka;2;Maros;Sefcovic;4831
Bratislava - Karlova Ves;1;Zuzana;Caputova;13075
Bratislava - Karlova Ves;2;Maros;Sefcovic;4337
Bratislava - Lamac;1;Zuzana;Caputova;2558
Bratislava - Lamac;2;Maros;Sefcovic;1145
Bratislava - Zahorska Bystrica;1;Zuzana;Caputova;2157
Bratislava - Zahorska Bystrica;2;Maros;Sefcovic;643
Bratislava - Cunovo;1;Zuzana;Caputova;663
Bratislava - Cunovo;2;Maros;Sefcovic;152
Bratislava - Jarovce;1;Zuzana;Caputova;1109
Bratislava - Jarovce;2;Maros;Sefcovic;271
Bratislava - Petrzalka;1;Zuzana;Caputova;35735
Bratislava - Petrzalka;2;Maros;Sefcovic;13682
Bratislava - Rusovce;1;Zuzana;Caputova;1743
Bratislava - Rusovce;2;Maros;Sefcovic;382
Borinka;1;Zuzana;Caputova;300
Borinka;2;Maros;Sefcovic;80
Gajary;1;Zuzana;Caputova;467
Gajary;2;Maros;Sefcovic;343
Jablonove;1;Zuzana;Caputova;367
Jablonove;2;Maros;Sefcovic;186
Jakubov;1;Zuzana;Caputova;362
Jakubov;2;Maros;Sefcovic;216
Kostoliste;1;Zuzana;Caputova;397
Kostoliste;2;Maros;Sefcovic;190
Kuchyna;1;Zuzana;Caputova;380
Kuchyna;2;Maros;Sefcovic;230
Lab;1;Zuzana;Caputova;499
Lab;2;Maros;Sefcovic;232
Lozorno;1;Zuzana;Caputova;882
Lozorno;2;Maros;Sefcovic;255
Malacky;1;Zuzana;Caputova;4244
Malacky;2;Maros;Sefcovic;2327
Male Levare;1;Zuzana;Caputova;226
Male Levare;2;Maros;Sefcovic;134
Marianka;1;Zuzana;Caputova;835
Marianka;2;Maros;Sefcovic;208
Pernek;1;Zuzana;Caputova;178
Pernek;2;Maros;Sefcovic;128
Plavecke Podhradie;1;Zuzana;Caputova;205
Plavecke Podhradie;2;Maros;Sefcovic;90
Plavecky Mikulas;1;Zuzana;Caputova;165
Plavecky Mikulas;2;Maros;Sefcovic;142
Plavecky Stvrtok;1;Zuzana;Caputova;496
Plavecky Stvrtok;2;Maros;Sefcovic;297
Rohoznik;1;Zuzana;Caputova;728
Rohoznik;2;Maros;Sefcovic;400
Solosnica;1;Zuzana;Caputova;411
Solosnica;2;Maros;Sefcovic;249
Studienka;1;Zuzana;Caputova;339
Studienka;2;Maros;Sefcovic;246
Stupava;1;Zuzana;Caputova;3907
Stupava;2;Maros;Sefcovic;1180
Suchohrad;1;Zuzana;Caputova;127
Suchohrad;2;Maros;Sefcovic;118
Velke Levare;1;Zuzana;Caputova;668
Velke Levare;2;Maros;Sefcovic;444
Vysoka pri Morave;1;Zuzana;Caputova;379
Vysoka pri Morave;2;Maros;Sefcovic;364
Zahorie (vojensky obvod);1;Zuzana;Caputova;30
Zahorie (vojensky obvod);2;Maros;Sefcovic;14
Zahorska Ves;1;Zuzana;Caputova;306
Zahorska Ves;2;Maros;Sefcovic;166
Zavod;1;Zuzana;Caputova;419
Zavod;2;Maros;Sefcovic;403
Zohor;1;Zuzana;Caputova;879
Zohor;2;Maros;Sefcovic;409
Bahon;1;Zuzana;Caputova;491
Bahon;2;Maros;Sefcovic;259
Budmerice;1;Zuzana;Caputova;592
Budmerice;2;Maros;Sefcovic;313
Casta;1;Zuzana;Caputova;606
Casta;2;Maros;Sefcovic;308
Dolany;1;Zuzana;Caputova;328
Dolany;2;Maros;Sefcovic;178
Dubova;1;Zuzana;Caputova;280
Dubova;2;Maros;Sefcovic;208
Jablonec;1;Zuzana;Caputova;208
Jablonec;2;Maros;Sefcovic;150
Limbach;1;Zuzana;Caputova;796
Limbach;2;Maros;Sefcovic;226
Modra;1;Zuzana;Caputova;3040
Modra;2;Maros;Sefcovic;1154
Pezinok;1;Zuzana;Caputova;8645
Pezinok;2;Maros;Sefcovic;2663
Pila;1;Zuzana;Caputova;139
Pila;2;Maros;Sefcovic;50
Slovensky Grob;1;Zuzana;Caputova;1319
Slovensky Grob;2;Maros;Sefcovic;567
Svaty Jur;1;Zuzana;Caputova;1813
Svaty Jur;2;Maros;Sefcovic;721
Senkvice;1;Zuzana;Caputova;1311
Senkvice;2;Maros;Sefcovic;883
Stefanova;1;Zuzana;Caputova;104
Stefanova;2;Maros;Sefcovic;48
Vinicne;1;Zuzana;Caputova;863
Vinicne;2;Maros;Sefcovic;305
Vinosady;1;Zuzana;Caputova;545
Vinosady;2;Maros;Sefcovic;111
Vistuk;1;Zuzana;Caputova;334
Vistuk;2;Maros;Sefcovic;212
Bernolakovo;1;Zuzana;Caputova;2362
Bernolakovo;2;Maros;Sefcovic;877
Blatne;1;Zuzana;Caputova;402
Blatne;2;Maros;Sefcovic;331
Boldog;1;Zuzana;Caputova;188
Boldog;2;Maros;Sefcovic;46
Cataj;1;Zuzana;Caputova;323
Cataj;2;Maros;Sefcovic;213
Dunajska Luzna;1;Zuzana;Caputova;2160
Dunajska Luzna;2;Maros;Sefcovic;649
Hamuliakovo;1;Zuzana;Caputova;805
Hamuliakovo;2;Maros;Sefcovic;192
Hruba Borsa;1;Zuzana;Caputova;386
Hruba Borsa;2;Maros;Sefcovic;107
Hruby Sur;1;Zuzana;Caputova;316
Hruby Sur;2;Maros;Sefcovic;60
Hurbanova Ves;1;Zuzana;Caputova;112
Hurbanova Ves;2;Maros;Sefcovic;80
Chorvatsky Grob;1;Zuzana;Caputova;2251
Chorvatsky Grob;2;Maros;Sefcovic;605
Igram;1;Zuzana;Caputova;146
Igram;2;Maros;Sefcovic;68
Ivanka pri Dunaji;1;Zuzana;Caputova;2119
Ivanka pri Dunaji;2;Maros;Sefcovic;837
Kalinkovo;1;Zuzana;Caputova;477
Kalinkovo;2;Maros;Sefcovic;153
Kaplna;1;Zuzana;Caputova;215
Kaplna;2;Maros;Sefcovic;144
Kostolna pri Dunaji;1;Zuzana;Caputova;223
Kostolna pri Dunaji;2;Maros;Sefcovic;75
Kralova pri Senci;1;Zuzana;Caputova;605
Kralova pri Senci;2;Maros;Sefcovic;283
Malinovo;1;Zuzana;Caputova;1331
Malinovo;2;Maros;Sefcovic;248
Miloslavov;1;Zuzana;Caputova;1180
Miloslavov;2;Maros;Sefcovic;332
Most pri Bratislave;1;Zuzana;Caputova;1007
Most pri Bratislave;2;Maros;Sefcovic;387
Nova Dedinka;1;Zuzana;Caputova;914
Nova Dedinka;2;Maros;Sefcovic;231
Novy Svet;1;Zuzana;Caputova;18
Novy Svet;2;Maros;Sefcovic;25
Reca;1;Zuzana;Caputova;430
Reca;2;Maros;Sefcovic;120
Rovinka;1;Zuzana;Caputova;1408
Rovinka;2;Maros;Sefcovic;401
Senec;1;Zuzana;Caputova;5279
Senec;2;Maros;Sefcovic;1944
Tomasov;1;Zuzana;Caputova;923
Tomasov;2;Maros;Sefcovic;183
Turen;1;Zuzana;Caputova;398
Turen;2;Maros;Sefcovic;64
Velky Biel;1;Zuzana;Caputova;857
Velky Biel;2;Maros;Sefcovic;223
Vlky;1;Zuzana;Caputova;148
Vlky;2;Maros;Sefcovic;20
Zalesie;1;Zuzana;Caputova;745
Zalesie;2;Maros;Sefcovic;215
Bac;1;Zuzana;Caputova;159
Bac;2;Maros;Sefcovic;60
Baka;1;Zuzana;Caputova;272
Baka;2;Maros;Sefcovic;22
Balon;1;Zuzana;Caputova;136
Balon;2;Maros;Sefcovic;16
Bellova Ves;1;Zuzana;Caputova;85
Bellova Ves;2;Maros;Sefcovic;29
Blahova;1;Zuzana;Caputova;89
Blahova;2;Maros;Sefcovic;32
Blatna na Ostrove;1;Zuzana;Caputova;231
Blatna na Ostrove;2;Maros;Sefcovic;43
Bodiky;1;Zuzana;Caputova;148
Bodiky;2;Maros;Sefcovic;29
Bohelov;1;Zuzana;Caputova;61
Bohelov;2;Maros;Sefcovic;22
Cakany;1;Zuzana;Caputova;212
Cakany;2;Maros;Sefcovic;22
Cenkovce;1;Zuzana;Caputova;310
Cenkovce;2;Maros;Sefcovic;35
Cilizska Radvan;1;Zuzana;Caputova;149
Cilizska Radvan;2;Maros;Sefcovic;17
Dobrohost;1;Zuzana;Caputova;174
Dobrohost;2;Maros;Sefcovic;28
Dolny Bar;1;Zuzana;Caputova;133
Dolny Bar;2;Maros;Sefcovic;29
